Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
288,A185,Existing,Not Interested,,2,,Reception,Not Sure,Not Sure
289,A185,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
290,A186,Existing,Wrong POC,VM/Email,1,,Reception,Not Sure,Not Sure
291,A186,Existing,,,,,Reception,Not Sure,Not Sure
1342,A187,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A187,New,No response,,2,,Invalid,Not Sure,Not Sure
1283,A188,Existing,,,,,,,
,A188,New,No response,,2,,Invalid,Not Sure,Not Sure
1323,A188,Existing,No response,,1,,Invalid,Not Sure,Not Sure
294,A189,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
292,A190,Existing,No response,,3,,Reception,Not Sure,Not Sure
293,A190,Existing,Wrong POC,,,,,,
295,A190,Existing,Wrong POC,,,,Reception,Not Sure,Not Sure
,A190,New,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
296,A190,Existing,Wrong POC,,,,,,
297,A191,Existing,No response,,3,,Reception,Not Sure,Not Sure
300,A191,Existing,,,,,,,
299,A192,Existing,No response,,2,,Reception,Not Sure,Not Sure
298,A193,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A193,New,No response,,2,,Reception,Not Sure,No
276,A194,Existing,No response,,1,,Reception,Not Sure,Not Sure
277,A195,Existing,No response,,1,,Reception,Not Important,Not Sure
,A195,New,,,,,Reception,Not Important,Not Sure
1236,A196,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
1298,A196,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
279,A197,Existing,No response,,3,,Reception,Not Sure,Not Sure
278,A198,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
301,A198,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
,A198,New,Not Interested,,1,,,,
302,A199,Existing,,,,,Reception,Not Sure,Not Sure
303,A199,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
304,A200,Existing,No response,,3,,Reception,Not Sure,Not Sure
305,A200,Existing,,,,,,,
306,A200,Existing,,,,,,,
307,A201,Existing,Follow-up,VM/Email,1,,Reception,Not Sure,No
,A201,,Lead,,1,Cold,Reception,Important,Not Sure
308,A202,Existing,Not Interested,,3,,Reception,Not Sure,Not Sure
309,A203,Existing,No response,,3,,Reception,Not Sure,Not Sure
311,A203,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
310,A204,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
312,A204,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
313,A204,Existing,No response,,3,,Reception,Not Sure,Not Sure
315,A204,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
1280,A205,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
1306,A205,Existing,No response,,3,,Reception,Not Sure,Not Sure
314,A206,Existing,No response,VM/Email,1,,Reception,Not Sure,Yes
316,A207,Existing,Follow-up,Phone,2,,Reception,Not Sure,Not Sure
319,A207,Existing,,,,,,,
317,A208,Existing,No response,VM/Email,1,,Reception,Not Sure,Not Sure
